flts[0]	flts[1]	flts[2]	flts[3]	ints[0]	ints[1]	ints[2]	ints[3]	ints[4]	ints[5]
181789.00000000	-247580.00000000	-6407.00000000	47848.00000000	6373	6374	6375	6376	6364	6377
181758.00000000	-247588.00000000	-6408.00000000	-10240.00000000	6373	6374	6375	6376	81	0
181724.00000000	-247612.00000000	-6407.00000000	53992.00000000	2408	2408	5773	5785	150	0
181706.00000000	-247641.00000000	-6407.00000000	-2048.00000000	2398	2403	5720	5736	7894	0
187811.00000000	-244475.00000000	-6431.00000000	-78728.00000000	9425	9520	9430	9431	9445	0
187789.00000000	-244494.00000000	-6432.00000000	-70656.00000000	7864	7867	7865	7866	9446	0
187780.00000000	-244529.00000000	-6431.00000000	-67464.00000000	7867	7867	7868	7869	9449	0
187781.00000000	-244556.00000000	-6431.00000000	-61440.00000000	2409	2409	5776	5788	213	0
185383.00000000	-241246.00000000	-6432.00000000	-34900.00000000	13433	13441	13442	13443	13884	0
185377.00000000	-241220.00000000	-6433.00000000	-27832.00000000	7864	7864	7865	7866	13221	0
185333.00000000	-241223.00000000	-6432.00000000	-13920.00000000	7867	7867	7868	7869	8688	0
185306.00000000	-241229.00000000	-6434.00000000	-10672.00000000	7867	7867	7868	7869	7895	0
175997.00000000	-240023.00000000	-6054.00000000	-9216.00000000	7861	7861	7862	7863	269	0
175991.00000000	-240055.00000000	-6055.00000000	3072.00000000	7861	7861	7862	7863	305	0
176027.00000000	-240087.00000000	-6052.00000000	4096.00000000	9432	9437	9439	9440	10252	0
176072.00000000	-240096.00000000	-6051.00000000	15360.00000000	9432	9437	9439	9440	10222	0
174656.00000000	-251257.00000000	-6330.00000000	13312.00000000	365	388	5765	5777	8680	0
174693.00000000	-251254.00000000	-6330.00000000	21504.00000000	13435	13448	13449	13450	13464	0
174583.00000000	-248314.00000000	-10356.00000000	-23060.00000000	2395	2395	5775	5787	9356	0
174548.00000000	-248303.00000000	-10356.00000000	-14868.00000000	2395	2395	5775	5787	9372	0
