id	int1	int2	enable_?	tip
1	3	101	1	u,Если переместить soulshot(ы), spiritsot(ы) в панель быстрого доступа и нажать на них правой кнопкой мыши,\\n то вы сможете использовать заряды автоматически.\0
2	2	102	1	u,Олимпиада проводится каждый день с 18 часов до полуночи. Принять участие в олимпиаде можно обратившись к администратору олимпиады.\0
3	2	0	1	u,Для того, чтобы запустить в компьютерном клубе 2 клиента с одного компьютера необходимо, чтобы хотя бы один аккаунт был оплачен.\0
4	2	0	1	u,Игровые сутки составляют 4 часа. День - 3 часа, ночь - 1 час. \\n Если вы хотите узнать время, используйте команду ""/time"".\0
5	3	0	1	u,Можно изменить точку обзора, не используя мышку, а пользуясь только клавиатурой. Для этого изпользуйте клавиши Page Up и Page Down.\0
6	3	0	1	u,Можно изменить окно чата, не используя мышку, а пользуясь только клавиатурой. Для этого используйте клавиши Alt+(Page Up, Page Down).\0
7	3	0	1	u,Для обеспечения вашей безопасности и удобства игры, каждую среду с 08:00 до 10:00 \\n проводятся профилактические работы на всех серверах.\0
8	1	0	0	u,Количество предметов в личном хранилище складывается из отданных на хранение предметов и предметов, полученных вами.\0
9	1	0	1	u,Если окно интерфейса отображается не полностью, зайдите в Настройки(alt+x) > Аудио/Система > и нажмите кнопку ""Сбросить"". \\n И тогда ваш интерфейс снова появится.\0
10	3	101	1	u,В игре вы можете приглашать друзей в группу или удалять их из спика друзей. Эта функция доступна при введении комманд ""/friendinvite"" и ""/frienddel"". \\n При введении комманды ""/friendlist"" вы сможете проверить и редактировать список ваших друзей.\0
11	2	101	1	u,Вы не можете передавать предметы между персонажами на одном аккаунте, если предметы лежат в личном хранилище. При желании передать предметы \\n необходимо поговорить с хранитилем склада в городе и воспользоваться его услугами.\0
12	3	0	1	u,О типе квестов можно узнать по светящимся восклицательным знакам над головой NPC. \\n Обычные задания обозначены оранжевым восклицательным знаком, а специальные задания синим.\0
13	3	0	1	u,Количество предметов, которые можно хранить в личном хранилище составляет 100 шт.(у гномов 120 шт.), учитывая предметы, хранящиеся на складе.\0
14	4	0	1	u,При нажатии замка на строке быстрого использования, вы сможете заблокировать иконки в строке.\0
15	3	0	1	u,Вы можете получить информацию о квестах и рейдах, обратившись к члену гильдии путешественников, а так же с помощью карты мира.\0
16	1	0	1	u,Если вы не хотите с кем-либо общаться, используйте комманду ""/block (имя персонажа)"".\0
17	3	0	1	u,Если не заплатить арендную плату за холл, то появляется соотвествующее сообщение. Через 7 дней с момента появления сообщения \\n вы автоматически теряете право на владение холлом.\0
18	4	0	1	u,На виверне могут летать только владельцы замков, крепостей и холлов.\\n Но не все владельцы холлов могут летать на виверне. Таким правом обладают только владельцы холлов в Fortress of the Dead и в Devastated Castle.\0
19	3	0	1	u,Для вызова предмета или получения нового предмета \\n необходимо, чтобы загруженность вашего инвентаря не превышала 80%, а также у вас должно быть более 10 свободных слотов.\0
20	3	0	1	u,Период войны семи печатей и период наложение печати начинается каждую неделю с 18:00.\\n Во время войны вы можете подойти к одному из жрецов, которые находятся в каждом городе, и вступить в войну семи печатей.\0
21	3	0	1	u,Если ваш питомец умер, то через 24 часа его труп исчезнет с сервера.\0
22	2	102	1	u,Квест ""Repent Your Sins"" невозможно передавать между классами и подклассами.\\n Если передать квест между классами, когда он еще не закончен, выполнение квеста приостановится.\0
23	3	0	0	u,При удалении персонажа с аккаунта, должно пройти 7 дней, чтобы персонаж удалился полностью.\0
24	3	0	1	u,Система рыбалки разделяется на дневную и ночную. Ночная рыбалка проходит с 00:00 до 06:00. \\n Вы сможете получить материалы для создания новых аксессуаров. Для ловли наилучшей рыбы необходимо использовать светящуюся приманку.\0
25	3	0	1	u,Для перевода игры в режим окна нажмите клавиши ALT+Enter. Если нажать эти клавиши еще раз, то игра перейдет обратно в полноэкранный режим.\0
26	3	102	1	u,Вы сможете посмотреть свои результаты и очки олимпиады при введении комманды ""/olympiadstat"".\0
27	2	0	1	u,С помощью комманды ""/clanpenalty"" вы может посмотреть все полученные штрафы клана. Например штрафы за исключения игроков из клана, за переименование клана и за расформирование клана.\0
28	4	101	1	u,Одним из свойств форума в игре является ""Закладка"", с помощью которой, можно заносить в избранное любые страницы.\0
29	4	101	1	u,Одним из свойств форума в игре является ""Заметка"", с помощью которой, можно записывать нужную информацию и сохранять ее.\0
30	4	101	1	u,Одним из свойств форума в игре является ""Почта"", с помощью которой, можно отправлять письма игрокам, не присутствующим в игре.\0
31	4	101	1	u,Одним из свойств форума в игре является ""Управление друзьями"", с помощью которого, можно изменять лист друзей и отправлять письма игрокам, котороые состоят в этом списке.\0
32	4	101	1	u,Можно выбирать ""Качество скриншота"". Если выбрать ""Не сжимать"", то скриншот сохранится в формате  BMP, \\n если выбрать ""Высокое/Среднее/Низкое"" то скриншот сохранится в формате JPG, в папке SYSTEM. \0
33	2	101	1	u,При активации окна цели в игре, можно увидеть некоторую информацию. Если это монстр, то будет видно какой монстр стихии и дополнительную информацию. Если это персонаж, то вы увидите информацию о его клане.\0
34	2	101	1	u,При использовании макроса ""%target"" имя цели появится у вас в окне чата. При использовании макроса ""%party1~8"" имя выбранного персонажа также автоматически появится в окне чата.\0
35	4	101	1	u,Умения, которые находятся в ""Активных умениях"" зависят от скорости атаки, а умения, находящиеся, в ""Магических умениях"" зависят от скорости чтения заклинаний.\0
36	3	101	1	u,Если вы выполняете квест, в котором указаны координаты, откройте карту и нажмите на кнопку ""Координаты цели"". Таким образом вы сможете узнать точное местонахождение цели.\0
37	4	102	1	u,С помощью рыбалки можно получить материалы, необходимые для создания аксессуаров и других полезных предметов.\0
38	4	102	1	u,Если использовать во время соревнований по рыбной ловле призовую приманку для рыбалки, то шанс поимки крупной рыбы увеличивается.\0
39	2	102	1	u,Вы не можете обмениваться умениями, полученными посредством рыбной ловли, между классовыми и подклассовыми персонажами.\0
40	3	0	1	u,При подаче заявки на расформирование клана снимаются очки опыта как за 1 смерть, а заявка принимает статус ""Рассматриваемая"" на 7 дней. \\n При отмене заявки опыт не восстанавливается. В другой клан можно вступить только по окончанию расформирования клана.\0
41	4	0	1	u,Вы можете объявлять клановую войну только кланам с 15 и более членами клана и у которых уровень клана выше 3.\0
42	1	101	1	u,С помощью комманды ""/findprivatestore"" вы можете легко найти предметы, которые вам необходимо купить в городе.\0
43	3	102	0	u,Если выйти во время рейда на боссов Закена, Баюма ил Антараса, то через 10 минут при следующем заходе в игру вас телепортирует в ближайшую деревню.\0
44	3	102	1	u,При командном рейде на боссов Баюма, Антараса или Валакаса \\n можно дать разрешение на поднятие предметов сроком 5 минут.\0
45	3	102	1	u,Во время приручения монстров на Ферме Монстров вы можете сделать питомцем монстра, который может исцелять, накладывать положительные эффекты или восстанавливать.\\n Эти питомцы могут очень помочь во время охоты.\0
46	3	0	1	u,Когда вы даете титул персонажу, вы можете использовать русские и английские буквы, а также специальные символы.\0
47	2	0	1	u,Для перемещения определенного количества предметов нажмите кнопку ALT и переместите предмет с помощью мыши.\0
48	3	0	1	u,В случае, если клан владеет замком, для перехода на сторону Воинов Заката \\n необходимо выйти из клана до начала войны семи печатей, до 18:00 понедельника.\0
49	2	0	1	u,Можно улучшить оружие C и D грейда у кузнеца Маммона.\0
50	3	102	1	u,С помощью очков мудрости вы можете увеличить восстановливаемый опыт до 20%, при использовании умения Воскрешение.\0
51	3	0	1	u,С помощью очков выносливости вы можете увеличить противостояние оглушению, а с помощью очков духа, потивостояние вражеским заклинаниям.\0
52	3	0	1	u,После первого выбора профессии можно создать татуировку с помощью обычной краски, а после второго выбора профессии, с помощью краски высокого качества.\0
53	2	0	1	u,Если игра замедляется при входе в город, нажатием клавиш ALT+P можно поменять режим фреймов на минимум.\0
54	4	0	1	u,Если в группе есть персонажи, разница в уровне с которыми состовляет 20, они не будут получать опыт.\0
55	3	102	0	u,Вы можете получить Soul Crystal 11 и 12 уровня, уничтожая боссов Баюма, Закена, Лилита и Анакима, а также за некоторые рейды.\\n А в рейдах на Антараса, Валакаса, Фринтессы и Эмбера вы можете получить кристаллы души 13 уровня.\0
56	3	0	1	u,Член клана, чей клан является владельцем замка, может вступить только в ряды воинов Рассвета.\\n Но теперь кланы альянса могут вступать и в ряды воинов Заката.\0
57	4	0	1	u,Если рыбачить в одном месте долгое время, то шанс ловли рыбы может уменьшиться.\0
