id	hunting_type	level	unk_1	loc_x	loc_y	loc_z	extra	affiliated_area_id	name
1	0	0	0	0.00000000	0.00000000	0.00000000	u,영문\0	1	u,Земли Диона\0
2	1	25	0	50568.00000000	152408.00000000	-2656.00000000	a,	1	u,Земля Казненных\0
3	1	23	0	50081.00000000	116859.00000000	-2176.00000000	a,	1	u,Лагерь Партизан\0
4	1	25	0	5106.00000000	126916.00000000	-3664.00000000	a,	1	u,Топи Крумы\0
5	2	40	0	17225.00000000	114173.00000000	-3440.00000000	a,	1	u,Башня Крумы\0
6	1	20	0	38291.00000000	148029.00000000	-3696.00000000	a,	1	u,Цветочная Ферма\0
7	3	0	0	15472.00000000	142880.00000000	-2699.00000000	a,	1	u,Дион\0
8	3	0	0	17308.00000000	170368.00000000	-3495.00000000	a,	1	u,Деревня Флоран\0
9	3	0	0	22310.00000000	155917.00000000	-2952.00000000	a,	1	u,Замок Дион\0
10	1	46	0	58316.00000000	163851.00000000	-2816.00000000	a,	1	u,Каньон Танор\0
11	1	34	0	34475.00000000	188095.00000000	-2976.00000000	a,	1	u,Пасека\0
12	1	20	0	29928.00000000	151415.00000000	2392.00000000	a,	1	u,Холмы Диона\0
13	1	30	0	10610.00000000	156322.00000000	-2472.00000000	a,	1	u,Угодья Флорана\0
14	1	23	0	630.00000000	179184.00000000	-3720.00000000	a,	1	u,Равнины Диона\0
15	5	0	0	43962.00000000	108861.00000000	-2032.00000000	a,	1	u,Укрепление Партизан\0
16	0	0	0	0.00000000	0.00000000	0.00000000	a,	16	u,Земли Гирана\0
17	3	0	0	105918.00000000	109759.00000000	-3170.00000000	a,	16	u,Академия Хардина\0
18	1	81	0	73024.00000000	118485.00000000	-3720.00000000	a,	16	u,Долина Драконов\0
19	2	85	0	131557.00000000	114509.00000000	-3712.00000000	a,	16	u,Логово Антараса\0
20	2	85	0	177160.00000000	114922.00000000	-7704.00000000	a,	16	u,Гнездо Антараса\0
21	1	35	0	67933.00000000	117045.00000000	-3544.00000000	a,	16	u,Долина Смерти\0
22	7	0	0	41528.00000000	198358.00000000	-4648.00000000	a,	16	u,Тоннель Пиратов\0
23	2	45	0	43408.00000000	206881.00000000	-3752.00000000	a,	16	u,Остров Дьявола\0
24	4	0	0	47938.00000000	186864.00000000	-3420.00000000	a,	16	u,Гавань Гирана\0
25	3	0	0	83475.00000000	147966.00000000	-3404.00000000	a,	16	u,Гиран\0
26	6	0	0	73579.00000000	142709.00000000	-3768.00000000	a,	16	u,Арена Гирана\0
27	3	0	0	112077.00000000	144869.00000000	-2824.00000000	a,	16	u,Замок Гиран\0
28	1	30	0	85546.00000000	131328.00000000	-3672.00000000	a,	16	u,Укрепление Бреки\0
29	1	31	0	113553.00000000	134813.00000000	-3540.00000000	a,	16	u,Сад Горгон\0
30	0	0	0	0.00000000	0.00000000	0.00000000	a,	30	u,Земли Глудио\0
31	1	15	0	-19120.00000000	136816.00000000	-3762.00000000	a,	30	u,Руины Отчаяния\0
32	1	15	0	-42628.00000000	119766.00000000	-3528.00000000	a,	30	u,Руины Страданий\0
33	1	25	0	-16526.00000000	208032.00000000	-3664.00000000	a,	30	u,Пустошь\0
34	2	29	0	-9959.00000000	176184.00000000	-4160.00000000	a,	30	u,Муравейник\0
35	3	0	0	-80684.00000000	149770.00000000	-3043.00000000	a,	30	u,Деревня Глудин\0
