id	text
1	u,хер\0
2	u,хуй\0
3	u,пизда\0
4	u,ебать\0
5	u,хуярить\0
6	u,хуйло\0
7	u,охуел\0
8	u,охуеть\0
9	u,охуевший\0
10	u,опизденевший\0
11	u,сука\0
12	u,охуевать\0
13	u,ебало\0
14	u,херачить\0
15	u,охереть\0
16	u,хуячить\0
17	u,пиздеть\0
18	u,пиздить\0
19	u,отпиздить\0
20	u,запиздить\0
21	u,напиздить\0
22	u,упиздить\0
23	u,перепиздеть\0
24	u,перепиздить\0
25	u,хуеть\0
26	u,бздеть\0
27	u,заебать\0
28	u,отъебать\0
29	u,переебать\0
30	u,недоебать\0
31	u,съебаться\0
32	u,уебать\0
33	u,срать\0
34	u,хуйло\0
35	u,пиздобратия\0
36	u,допиздеться\0
37	u,хуета\0
38	u,хуетень\0
39	u,хуйня\0
40	u,залупаться\0
41	u,хуеплёт\0
42	u,хуеплет\0
43	u,залупа\0
44	u,мудак\0
45	u,мудило\0
46	u,хуй-валуй\0
47	u,хуёвина\0
48	u,хуёк\0
49	u,ёбарь\0
50	u,ебарь\0
51	u,ебля\0
52	u,ссать\0
53	u,ссаки\0
54	u,срака\0
55	u,хуище\0
56	u,блядь\0
57	u,хуёвый\0
58	u,хуёво\0
59	u,охуительный\0
60	u,охуительно\0
61	u,охуевать\0
62	u,охуеть\0
63	u,хуярить\0
64	u,хуячить\0
65	u,пиздец\0
66	u,пиздюк\0
67	u,пиздобол\0
68	u,пизденыш\0
69	u,распиздяй\0
70	u,разпиздяй\0
71	u,пиздюли\0
72	u,пиздатый\0
73	u,пиздато\0
74	u,остопиздеть\0
75	u,пиздануть\0
76	u,пиздануться\0
77	u,ебло\0
78	u,ебальник\0
79	u,ебля\0
80	u,еблан\0
81	u,долбоёб\0
82	u,мозгоёб\0
83	u,мозгоёбство\0
84	u,заебись\0
85	u,проблядь\0
86	u,заебать\0
87	u,дрочить\0
88	u,задрота\0
89	u,залупить\0
90	u,гондон\0
91	u,манда\0
92	u,нехуй\0
93	u,охуительно\0
94	u,пиздато\0
95	u,пиздобол\0
96	u,пиздюк\0
97	u,пиздюли\0
98	u,пиздюлина\0
99	u,пиздануться\0
100	u,блядища\0
101	u,проблядь\0
102	u,мудило\0
103	u,мудозвон\0
104	u,ёбло\0
105	u,ебло\0
106	u,блядиада\0
107	u,блядина\0
108	u,блядинос\0
109	u,блядистость\0
110	u,блядогон\0
