tag_?	quest_id	quest_prog	main_name	prog_name	description	cnt1	items[0]	items[1]	items[2]	items[3]	items[4]	items[5]	items[6]	items[7]	items[8]	items[9]	items[10]	items[11]	items[12]	items[13]	cnt2	num_items[0]	num_items[1]	num_items[2]	num_items[3]	num_items[4]	num_items[5]	num_items[6]	num_items[7]	num_items[8]	num_items[9]	num_items[10]	num_items[11]	num_items[12]	num_items[13]	quest_x	quest_y	quest_z	lvl_min	lvl_max	quest_type	entity_name	get_item_in_quest	UNK_1	UNK_2	contact_npc_id	contact_npc_x	contact_npc_y	contact_npc_z	restricions	short_description	cnt3	req_class[0]	req_class[1]	req_class[2]	req_class[3]	req_class[4]	req_class[5]	req_class[6]	req_class[7]	req_class[8]	req_class[9]	req_class[10]	req_class[11]	req_class[12]	req_class[13]	req_class[14]	req_class[15]	req_class[16]	req_class[17]	req_class[18]	req_class[19]	req_class[20]	req_class[21]	req_class[22]	req_class[23]	req_class[24]	req_class[25]	req_class[26]	req_class[27]	req_class[28]	req_class[29]	req_class[30]	req_class[31]	req_class[32]	req_class[33]	req_class[34]	req_class[35]	req_class[36]	req_class[37]	req_class[38]	req_class[39]	req_class[40]	req_class[41]	req_class[42]	req_class[43]	req_class[44]	req_class[45]	req_class[46]	req_class[47]	req_class[48]	req_class[49]	req_class[50]	req_class[51]	req_class[52]	req_class[53]	req_class[54]	req_class[55]	req_class[56]	req_class[57]	req_class[58]	req_class[59]	req_class[60]	req_class[61]	req_class[62]	req_class[63]	req_class[64]	req_class[65]	req_class[66]	req_class[67]	req_class[68]	cnt4	req_item[0]	req_item[1]	req_item[2]	req_item[3]	req_item[4]	clan_pet_quest	req_quest_complete	UNK_3	area_id	UNK_4	cnt5	tab5[0]	tab5[1]	tab5[2]	tab5[3]	tab5[4]	tab5[5]	tab5[6]	tab5[7]	tab5[8]	tab5[9]	tab5[10]	cnt6	tab6[0]	tab6[1]	tab6[2]	tab6[3]	tab6[4]	tab6[5]	tab6[6]	tab6[7]	tab6[8]	tab6[9]	tab6[10]	cnt7	tab7[0]	tab7[1]	tab7[2]	tab7[3]
1	1	1	u,Любовное послание\0	u,Доставка послания\0	u,Дарин, юноша из Деревни Говорящего Острова, влюблен в Хранителя Портала Рокси, но стесняется признаться ей в своих чувствах. Поэтому он просит Вас доставить ей любовное послание.\\n\0	0															0															-84108.00000000	244604.00000000	-3729.00000000	2	5	3	u,Хранитель Портала Рокси\0	1	1	1	30048	-84436.00000000	242793.00000000	-3729.00000000	u,Нет требований\0	u,Дарин, юноша с Говорящего Острова, пылает страстью к Хранителю Портала Рокси, но боится, что она не ответит ему взаимностью. Помогите ему найти свою любовь!\0	0																																																																						0						0	0	0	30	0	4	15623	15624	57	906								4	5672	446	2466	1								1	0			
1	1	2	u,Любовное послание\0	u,Платок Рокси\0	u,Получив письмо Дарина, Рокси призналась, что она и сама испытывает симпатию к Дарину, попросив вместо ответного письма передать ему свой платок. Возьмите платок Рокси и вернитесь к Дарину на Площадь Деревни.\\n\0	0															0															-84436.00000000	242793.00000000	-3729.00000000	2	5	3	u,Дарин\0	0	1	1	30048	-84436.00000000	242793.00000000	-3729.00000000	u,Нет требований\0	u,Дарин, юноша с Говорящего Острова, пылает страстью к Хранителю Портала Рокси, но боится, что она не ответит ему взаимностью. Помогите ему найти свою любовь!\0	0																																																																						0						0	0	0	30	0	4	15623	15624	57	906								4	5672	446	2466	1								1	1			
1	1	3	u,Любовное послание\0	u,Любовное зелье\0	u,Дарин пришел в восторг от того, что Рокси ответила ему взаимностью, и хочет пригласить ее на свидание. Он просит Вас пойти в храм к Магистру Баулро и взять у него обещанное любовное зелье.\\n\0	0															0															-84729.00000000	245001.00000000	-3726.00000000	2	5	3	u,Магистр Баулро\0	0	1	1	30048	-84436.00000000	242793.00000000	-3729.00000000	u,Нет требований\0	u,Дарин, юноша с Говорящего Острова, пылает страстью к Хранителю Портала Рокси, но боится, что она не ответит ему взаимностью. Помогите ему найти свою любовь!\0	0																																																																						0						0	0	0	30	0	4	15623	15624	57	906								4	5672	446	2466	1								1	2			
1	1	4	u,Любовное послание\0	u,Вода для храбрости\0	u,Магистр Баулро признается, что никакого зелья у него нет. Он обманул Дарина, чтобы придать ему храбрости. Он дает Вам пузырек, наполненный обычной водой. Передайте его Дарину на деревенской площади.\\n\0	0															0															-84436.00000000	242793.00000000	-3729.00000000	2	5	3	u,Дарин\0	0	1	1	30048	-84436.00000000	242793.00000000	-3729.00000000	u,Нет требований\0	u,Дарин, юноша с Говорящего Острова, пылает страстью к Хранителю Портала Рокси, но боится, что она не ответит ему взаимностью. Помогите ему найти свою любовь!\0	0																																																																						0						0	0	0	30	0	4	15623	15624	57	906								4	5672	446	2466	1								1	3			
1	1	-1	u,Любовное послание\0	a,	a,	0															0															0.00000000	0.00000000	0.00000000	2	5	3	a,	1	1	1	30048	-84436.00000000	242793.00000000	-3729.00000000	u,Нет требований\0	u,Дарин, юноша из Деревни Говорящего Острова, влюблен в Хранителя Портала Рокси, но стесняется признаться ей в своих чувствах. Поэтому он просит Вас доставить ей любовное послание.\0	0																																																																						0						0	0	0	30	0	4	15623	15624	57	906								4	5672	446	2466	1								1	4			
1	2	1	u,Чего хотят женщины\0	u,Письмо Аруена\0	u,Аруен признается Вам, что он давно очарован Магистром Гринис. Он просит Вас разузнать, взаимны ли его чувства. Поговорите с ее младшей сестрой, Хранителем Портала Мирабель, и покажите ей письмо Аруена.\\n\0	0															0															46926.00000000	51511.00000000	-2977.00000000	2	5	3	u,Хранитель Портала Мирабель\0	0	1	1	30223	42978.00000000	49115.00000000	-2994.00000000	u,Эльф, Человек\0	u,Аруен, юноша из Эльфийской Деревни, любит Магистра Гринис всем сердцем, но кто знает, ответит ли она ему взаимностью…\0	49	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																					0						0	0	0	67	0	4	15623	15624	57	113								4	4254	335	1850	1								1	0			
1	2	2	u,Чего хотят женщины\0	u,Дядюшка Гербиэль\0	u,Мирабель говорит, что она не в курсе дел своей сестры, и предлагает Вам обратиться к торговцу Гербиэлю. Вы можете найти его в магазине магии. Покажите ему письмо Аруена.\\n\0	0															0															42766.00000000	50037.00000000	-2984.00000000	2	5	3	u,Торговец Гербиэль\0	0	1	1	30223	42978.00000000	49115.00000000	-2994.00000000	u,Эльф, Человек\0	u,Аруен, юноша из Эльфийской Деревни, любит Магистра Гринис всем сердцем, но кто знает, ответит ли она ему взаимностью…\0	49	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																					0						0	0	0	67	0	4	15623	15624	57	113								4	4254	335	1850	1								1	1			
1	2	3	u,Чего хотят женщины\0	u,Мнение дядюшки\0	u,Гербиэль считает, что Гринис нравится Аруен. Возвращайтесь к Аруену с хорошими новостями.\\n\0	0															0															42978.00000000	49115.00000000	-2994.00000000	2	5	3	u,Аруен\0	0	1	1	30223	42978.00000000	49115.00000000	-2994.00000000	u,Эльф, Человек\0	u,Аруен, юноша из Эльфийской Деревни, любит Магистра Гринис всем сердцем, но кто знает, ответит ли она ему взаимностью…\0	49	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																					0						0	0	0	67	0	4	15623	15624	57	113								4	4254	335	1850	1								1	2			
1	2	4	u,Чего хотят женщины\0	u,Чувства в поэзии\0	u,Аруен говорит, что написал для Гринис стихи. Передайте ей эту книгу.\\n\0	0															0															45000.00000000	52101.00000000	-2795.00000000	2	5	3	u,Магистр Гринис\0	0	1	1	30223	42978.00000000	49115.00000000	-2994.00000000	u,Эльф, Человек\0	u,Аруен, юноша из Эльфийской Деревни, любит Магистра Гринис всем сердцем, но кто знает, ответит ли она ему взаимностью…\0	49	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																					0						0	0	0	67	0	4	15623	15624	57	113								4	4254	335	1850	1								1	3			
1	2	5	u,Чего хотят женщины\0	u,Письмо с отказом\0	u,Гринис признается Вам, что она любит другого. Возьмите у нее письмо с отказом и передайте Аруену.\\n\0	0															0															42978.00000000	49115.00000000	-2994.00000000	2	5	3	u,Аруен\0	0	1	1	30223	42978.00000000	49115.00000000	-2994.00000000	u,Эльф, Человек\0	u,Аруен, юноша из Эльфийской Деревни, любит Магистра Гринис всем сердцем, но кто знает, ответит ли она ему взаимностью…\0	49	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																					0						0	0	0	67	0	4	15623	15624	57	113								4	4254	335	1850	1								1	4			
