name	id_mk	id_recipe	level	id_item	count	mp_cost	success_rate	materials_cnt	materials_extra	materials_m[0]_id	materials_m[0]_cnt	materials_m[1]_id	materials_m[1]_cnt	materials_m[2]_id	materials_m[2]_cnt	materials_m[3]_id	materials_m[3]_cnt	materials_m[4]_id	materials_m[4]_cnt	materials_m[5]_id	materials_m[5]_cnt	materials_m[6]_id	materials_m[6]_cnt	materials_m[7]_id	materials_m[7]_cnt	materials_m[8]_id	materials_m[8]_cnt	materials_m[9]_id	materials_m[9]_cnt	materials_m[10]_id	materials_m[10]_cnt
a,mk_wooden_arrow\0	1	1666	1	17	500	30	100	2	0	1864	4	1869	2																		
a,mk_broad_sword\0	2	1786	1	3	1	30	100	3	0	2005	1	1869	18	1870	18																
a,mk_willow_staff\0	3	1787	1	8	1	30	100	4	0	2006	1	1869	12	1872	24	1864	12														
a,mk_bow\0	4	1788	1	14	1	30	100	4	0	2007	1	1869	20	1878	4	1866	4														
a,mk_cedar_staff\0	5	1789	1	9	1	45	100	4	0	2008	2	1869	55	1872	110	1864	55														
a,mk_dirk\0	6	1790	1	216	1	45	100	3	0	2009	2	1869	80	1870	80																
a,mk_brandish\0	7	1791	1	1333	1	45	100	3	0	2010	2	1869	110	1870	55																
a,mk_short_spear\0	8	1792	1	15	1	60	100	4	0	2011	3	1869	220	1870	110	1866	55														
a,mk_sword_of_reflexion\0	9	1793	1	120	1	60	100	3	0	2012	3	1869	200	1870	200																
a,mk_bow_of_forest\0	10	1794	1	272	1	60	100	4	0	2013	3	1869	225	1878	45	1866	45														
a,mk_leather_shoes\0	11	1795	1	37	1	45	100	3	0	1921	2	1867	8	1866	1																
a,mk_leather_tunic\0	12	1796	1	429	1	45	100	3	0	1922	2	1867	24	1868	12																
a,mk_leather_hose\0	13	1797	1	464	1	45	100	3	0	1923	2	1867	12	1868	12																
a,mk_leather_helmet\0	14	1798	1	44	1	60	100	3	0	1924	3	1866	15	1867	12																
a,mk_leather_gloves\0	15	1799	1	50	1	60	100	3	0	1925	3	1867	24	1866	3																
a,mk_piece_bone_breastplate\0	16	1800	1	25	1	63	100	3	0	1926	3	1883	3	1869	30																
a,mk_piece_bone_gaiters\0	17	1801	1	32	1	63	100	3	0	1928	3	1883	2	1872	14																
a,mk_necklace_of_anguish\0	18	1802	1	907	1	45	100	3	0	1896	2	1864	20	1865	4																
a,mk_necklace_of_wisdom\0	19	1803	1	908	1	60	100	3	0	1897	3	1864	50	1865	10																
a,mk_soulshot_d\0	20	1804	2	1463	468	72	100	2	0	1785	9	1458	3																		
