id	UNK_0	message	group	rgba[0]	rgba[1]	rgba[2]	rgba[3]	item_sound	sys_msg_ref	UNK_1[0]	UNK_1[1]	UNK_1[2]	UNK_1[3]	UNK_1[4]	sub_msg	type
0	1	u,Соединение с сервером потеряно.\0	2	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,server\0
1	1	u,Сервер будет отключен через $s1 сек. Пожалуйста, выйдите из игры.\0	2	0	0	FF	FF	a,	a,	8	0	3	1	0	u,Выход из игры: $s1 сек.\0	a,server\0
2	1	u,Пользователя $1s не существует.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
3	1	u,Пользователь $1s не в игре.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
4	1	u,Невозможно принять в клан самого себя.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
5	1	u,Клан $1s уже существует.\0	0	79	9B	B0	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
6	1	u,Клана $1s не существует.\0	0	79	9B	B0	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
7	1	u,Вы уже состоите в клане $1s.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
8	1	u,Вы уже состоите в другом клане.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
9	1	u,$1s не является главой клана.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
10	1	u,$1s уже состоит в клане.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
11	1	u,Нет заявок на вступление в клан.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
12	1	u,Информация о заявках на вступление в клан не точна.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
13	1	u,Вы не можете расформировать клан, т.к. подали заявку на осаду замка.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
14	1	u,Вы не можете расформировать клан, т.к. владеете замком или холлом клана.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
15	1	u,Вы в зоне осады.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
16	1	u,Вы вне зоны осады.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
17	1	u,Осада замка началась.\0	0	79	9B	B0	FF	a,ItemSound3.sys_siege_start\0	a,17\0	2	0	3	1	0	u,Начало осады!\0	a,none\0
18	1	u,Осада замка закончилась.\0	0	79	9B	B0	FF	a,	a,18\0	2	0	3	1	0	u,Конец осады!\0	a,none\0
19	1	u,Сменился владелец замка!\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
20	1	u,Ворота открыты.\0	0	79	9B	B0	FF	a,	a,	2	0	3	1	0	u,Ворота открываются!\0	a,none\0
21	1	u,Ворота разрушены.\0	0	79	9B	B0	FF	a,	a,	2	0	3	1	0	u,Ворота разрушены!\0	a,none\0
22	1	u,Цель находится слишком далеко.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
23	1	u,Недостаточно HP.\0	0	2B	2B	FF	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,none\0
24	1	u,Недостаточно MP.\0	0	2B	2B	FF	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,none\0
25	1	u,Восстановление HP.\0	0	80	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
26	1	u,Восстановление MP.\0	0	80	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
27	1	u,Чтение заклинания прервано.\0	0	2B	2B	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
28	1	u,Вы подобрали $s1 аден.\0	0	0	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
29	1	u,Вы получили $s2 $s1.\0	0	0	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
30	1	u,Вы получили $s1.\0	0	0	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
31	1	u,Вы не можете двигаться, когда сидите.\0	0	80	80	FF	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
32	1	u,Вы не можете вступить в битву. Пожалуйста, перейдите к ближайшей точке перезапуска.\0	0	80	80	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
33	1	u,Невозможно двигаться во время чтения заклинания.\0	0	80	80	FF	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
34	1	u,Добро пожаловать в мир Lineage II.\0	2	0	FF	0	FF	a,	a,	0	0	0	0	0	a,	a,server\0
35	1	u,Нанесено $s1 урона.\0	3	FF	FF	80	FF	a,	a,	0	0	0	0	0	a,	a,damage\0
36	1	u,$c1 наносит Вам $s2 урона.\0	3	0	0	FF	FF	a,	a,	0	0	0	0	0	a,	a,damage\0
37	1	u,$c1 наносит Вам $s2 урона.\0	3	0	0	FF	FF	a,	a,	0	0	0	0	0	a,	a,damage\0
38	1	u,Начинается ивент TGS2002!\0	0	FF	FF	80	FF	a,	a,	0	0	0	0	0	a,	a,none\0
39	1	u,Ивент TGS2002 закончился. Большое спасибо за участие!\0	0	FF	FF	80	FF	a,	a,	0	0	0	0	0	a,	a,none\0
40	1	u,Из-за того, что это TGS демо, персонаж возродится немедленно.\0	0	FF	FF	80	FF	a,	a,	0	0	0	0	0	a,	a,none\0
41	1	u,Вы натягиваете тетиву.\0	1	80	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,battle\0
42	1	u,Вы увернулись от атаки противника $c1.\0	1	0	FF	80	FF	a,	a,	0	0	0	0	0	a,	a,battle\0
43	1	u,Вы промахнулись.\0	1	28	28	FF	FF	a,	a,	0	0	0	0	0	a,	a,battle\0
44	1	u,Критический удар!\0	1	0	FF	80	FF	a,	a,	0	0	0	0	0	a,	a,battle\0
45	1	u,Получено: $s1 опыта.\0	0	3E	E1	46	FF	a,	a,	0	0	0	0	0	a,	a,none\0
46	1	u,Вы используете: $s1.\0	0	FF	66	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
47	1	u,Используется: $s1.\0	0	0	FF	0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
48	1	u,$s1: идет перезарядка.\0	3	80	FF	FF	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,damage\0
49	1	u,Надето: $s1.\0	0	25	C0	9D	FF	a,	a,	0	0	0	0	0	a,	a,none\0
50	1	u,Нет цели.\0	0	80	80	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
51	1	u,Вы не можете использовать это на себя.\0	0	80	80	FF	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
52	1	u,Вы подобрали $s1 аден(ы).\0	0	0	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
53	1	u,Вы получили $s2 $s1.\0	0	0	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
54	1	u,Вы получили $s1.\0	0	0	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
55	1	u,Нельзя поднять: $s1 аден.\0	0	80	80	FF	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
56	1	u,Нельзя поднять: $s1.\0	0	80	80	FF	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
57	1	u,Нельзя поднять: $s1 ($s2 шт.)\0	0	80	80	FF	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
58	1	u,Нельзя получить: $s1 аден.\0	0	80	80	FF	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
59	1	u,Нельзя получить: $s1.\0	0	80	80	FF	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
60	1	u,Нельзя получить: $s1 ($s2 шт.)\0	0	80	80	FF	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
61	1	u,Ничего не произошло.\0	0	80	80	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
62	1	u,$s1 было успешно заточено.\0	0	0	FF	FF	FF	a,ItemSound3.sys_enchant_success\0	a,	0	0	0	0	0	a,	a,none\0
63	1	u,+$s1 $s2 было успешно заточено.\0	0	0	FF	FF	FF	a,ItemSound3.sys_enchant_success\0	a,	0	0	0	0	0	a,	a,none\0
64	1	u,Неудачная попытка заточить. $s1 распался на кристалы.\0	0	80	80	FF	FF	a,ItemSound3.sys_enchant_failed\0	a,	0	0	0	0	0	a,	a,none\0
65	1	u,Неудачная попытка заточить. +$s1 $s2 распался на кристалы.\0	0	80	80	FF	FF	a,ItemSound3.sys_enchant_failed\0	a,	0	0	0	0	0	a,	a,none\0
66	1	u,$c1 приглашает Вас в группу. Вы согласны?\0	4	0	FF	80	FF	a,ItemSound3.sys_party_invite\0	a,	0	0	0	0	0	a,	a,popup\0
67	1	u,$s1 приглашает Вас в клан $s2. Вы согласны?\0	4	0	FF	80	FF	a,ItemSound3.sys_party_invite\0	a,	0	0	0	0	0	a,	a,popup\0
68	1	u,Выйти из клана $s1? После этого нельзя вступить в другой клан в течение 24 ч.\0	4	0	FF	80	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
69	1	u,Исключить из клана персонажа $s1? После этого нельзя принимать в клан других персонажей в течение 24 ч.\0	4	0	FF	80	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
70	1	u,Распустить клан $s1?\0	4	0	FF	80	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
71	1	u,Как много $s1 желаете выбросить?\0	4	0	FF	80	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
72	1	u,Как много $s1 желаете переместить?\0	4	0	FF	80	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
73	1	u,Как много $s1 желаете уничтожить?\0	4	0	FF	80	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
74	1	u,Вы действительно хотите уничтожить $s1?\0	4	0	FF	80	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
75	1	u,Логин не существует.\0	0	80	80	FF	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
76	1	u,Неправильный пароль.\0	0	80	80	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
77	1	u,Нельзя создать персонажа. Удалите уже существующего и повторите попытку.\0	0	80	80	FF	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
78	1	u,Удалить персонажа $s1?\0	4	80	80	FF	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
79	1	u,Такое имя уже используется.\0	0	80	80	FF	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
80	1	u,Введите имя персонажа (максимум 16 символов).\0	0	0	FF	80	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
81	1	u,Выберите расу.\0	0	0	FF	80	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
82	1	u,Выберите профессию.\0	0	0	FF	80	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
83	1	u,Выберите пол.\0	0	0	FF	80	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
84	1	u,Вы не можете атаковать в мирной зоне.\0	0	80	80	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
85	1	u,Вы не можете атаковать цель в мирной зоне.\0	0	80	80	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
86	1	u,Введите логин.\0	0	0	FF	80	FF	a,	a,	0	0	0	0	0	a,	a,none\0
87	1	u,Введите пароль.\0	0	0	FF	80	FF	a,	a,	0	0	0	0	0	a,	a,none\0
88	1	u,Другая версия протокола. Пожалуйста, завершите программу.\0	0	80	80	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
89	1	u,Другая версия протокола. Пожалуйста, продолжайте.\0	0	80	80	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
90	1	u,Невозможно соединиться с сервером.\0	0	80	80	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
91	1	u,Выберите прическу.\0	0	0	FF	80	FF	a,	a,	0	0	0	0	0	a,	a,none\0
92	1	u,Закончился эффект: $s1.\0	0	0	FF	80	FF	a,	a,	0	0	0	0	0	a,	a,none\0
93	1	u,Недостаточно SP.\0	0	80	80	FF	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,none\0
94	1	u,Lineage II Freya High Five Part 5. Copyright © 2010-2012 \0	0	0	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
95	1	u,Вы заработали: опыта - $s1 и SP - $s2.\0	0	0	FF	0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
96	1	u,Ваш уровень повысился! Поздравляю!\0	0	FF	FF	0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
97	1	u,Невозможно переместить предмет.\0	0	80	80	FF	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
98	1	u,Невозможно выбросить предмет.\0	0	80	80	FF	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
99	1	u,Невозможно передать/продать предмет.\0	0	80	80	FF	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
100	1	u,$c1 предлагает сделку. Принять?\0	4	0	FF	80	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
101	1	u,Во время боя нельзя выйти из игры.\0	0	22	22	FF	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
102	1	u,Во время боя нельзя перезапустить игру.\0	0	22	22	FF	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
103	1	u,Игрок с данным именем уже в игре.\0	0	25	C0	9D	FF	a,	a,	0	0	0	0	0	a,	a,none\0
104	1	u,Нельзя надевать предметы во время использования умений.\0	0	66	66	FF	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
105	1	u,Вы приглашаете в группу персонажа $c1.\0	0	0	FF	0	FF	a,ItemSound3.sys_party_join\0	a,	0	0	0	0	0	a,	a,none\0
106	1	u,Вы присоединились к группе.\0	0	0	FF	0	FF	a,ItemSound3.sys_party_join\0	a,	0	0	0	0	0	a,	a,none\0
107	1	u,$c1 присоединяется к группе.\0	0	0	FF	0	FF	a,ItemSound3.sys_party_join\0	a,	0	0	0	0	0	a,	a,none\0
108	1	u,$c1 выходит из группы.\0	0	0	FF	0	FF	a,ItemSound3.sys_party_leave\0	a,	0	0	0	0	0	a,	a,none\0
109	1	u,Неверная цель.\0	0	22	22	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
110	1	u,Вы ощущаете эффект: $s1.\0	0	0	FF	0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
111	1	u,Вы удачно блокировали удар.\0	1	0	FF	80	FF	a,	a,	0	0	0	0	0	a,	a,battle\0
112	1	u,Стрелы закончились.\0	0	80	80	FF	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,none\0
113	1	u,$s1: нельзя сейчас использовать.\0	0	80	80	FF	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
114	1	u,Вы зашли в Тень Древа Жизни.\0	0	25	C0	9D	FF	a,	a,	0	0	0	0	0	a,	a,none\0
115	1	u,Вы вышли из Тени Древа Жизни.\0	0	25	C0	9D	FF	a,	a,	0	0	0	0	0	a,	a,none\0
116	1	u,Вы зашли в мирную зону.\0	0	25	C0	9D	FF	a,	a,	0	0	0	0	0	a,	a,none\0
117	1	u,Вы вышли из мирной зоны.\0	0	25	C0	9D	FF	a,	a,	0	0	0	0	0	a,	a,none\0
118	1	u,Вы предложили сделку персонажу $c1.\0	0	0	FF	0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
119	1	u,$c1 отказывается от сделки.\0	0	0	80	FF	FF	a,ItemSound3.sys_denial\0	a,	0	0	0	0	0	a,	a,none\0
120	1	u,$c1: обмен начался.\0	0	25	C0	9D	FF	a,	a,	0	0	0	0	0	a,	a,none\0
121	1	u,$c1 подтверждает сделку.\0	0	0	FF	0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
122	1	u,Нельзя изменять предметы, если сделка подтверждена.\0	0	80	80	FF	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
123	1	u,Обмен успешно завершен.\0	0	0	FF	0	FF	a,ItemSound3.sys_exchange_success\0	a,	0	0	0	0	0	a,	a,none\0
124	1	u,$c1 отменяет сделку.\0	0	40	80	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
125	1	u,Выйти из игры. Вы хотите продолжить?\0	4	0	FF	0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
126	1	u,Перезайти другим героем. Продолжить?\0	4	0	FF	0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
127	1	u,Связь с сервером прервалась. Пожалуйста, зайдите в игру позже.\0	4	FF	FF	80	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
