int1	int2	int3	int4	int5	effect	attribute
1	1	0	15	0		u,Улучш.\0
1	1	0	15	1		u,Улучш.\0
1	1	0	15	2		u,Улучш.\0
1	1	0	15	3		u,Улучш.\0
1	1	0	15	4		u,Улучш.\0
1	1	0	15	5		u,Улучш.\0
1	1	0	15	6		u,Улучш.\0
1	1	0	15	7		u,Улучш.\0
1	1	0	15	8		u,Улучш.\0
1	1	0	15	9		u,Улучш.\0
1	1	0	15	10		u,Улучш.\0
1	1	16	50	0		u,Улучш.\0
1	1	16	50	1		u,Улучш.\0
1	1	16	50	2		u,Улучш.\0
1	1	16	50	3		u,Улучш.\0
1	1	16	50	4		u,Улучш.\0
1	1	16	50	5		u,Улучш.\0
1	1	16	50	6		u,Улучш.\0
1	1	16	50	7		u,Улучш.\0
1	1	16	50	8		u,Улучш.\0
1	1	16	50	9		u,Улучш.\0
1	1	16	50	10		u,Улучш.\0
1	2	0	15	0		u,Улучш.\0
1	2	0	15	1		u,Улучш.\0
1	2	0	15	2		u,Улучш.\0
1	2	0	15	3		u,Улучш.\0
1	2	0	15	4		u,Улучш.\0
1	2	0	15	5		u,Улучш.\0
1	2	0	15	6		u,Улучш.\0
1	2	0	15	7		u,Улучш.\0
1	2	0	15	8		u,Улучш.\0
1	2	0	15	9		u,Улучш.\0
1	2	0	15	10		u,Улучш.\0
1	2	16	50	0		u,Улучш.\0
1	2	16	50	1		u,Улучш.\0
1	2	16	50	2		u,Улучш.\0
1	2	16	50	3		u,Улучш.\0
1	2	16	50	4		u,Улучш.\0
1	2	16	50	5		u,Улучш.\0
1	2	16	50	6		u,Улучш.\0
1	2	16	50	7		u,Улучш.\0
1	2	16	50	8		u,Улучш.\0
1	2	16	50	9		u,Улучш.\0
1	2	16	50	10		u,Улучш.\0
1	3	0	15	0		u,Улучш.\0
1	3	0	15	1		u,Улучш.\0
1	3	0	15	2		u,Улучш.\0
1	3	0	15	3		u,Улучш.\0
1	3	0	15	4		u,Улучш.\0
1	3	0	15	5		u,Улучш.\0
1	3	0	15	6		u,Улучш.\0
1	3	0	15	7		u,Улучш.\0
1	3	0	15	8		u,Улучш.\0
1	3	0	15	9		u,Улучш.\0
1	3	0	15	10		u,Улучш.\0
1	3	16	50	0		u,Улучш.\0
1	3	16	50	1		u,Улучш.\0
1	3	16	50	2		u,Улучш.\0
1	3	16	50	3		u,Улучш.\0
1	3	16	50	4		u,Улучш.\0
1	3	16	50	5		u,Улучш.\0
1	3	16	50	6		u,Улучш.\0
1	3	16	50	7		u,Улучш.\0
1	3	16	50	8		u,Улучш.\0
1	3	16	50	9		u,Улучш.\0
1	3	16	50	10		u,Улучш.\0
1	4	0	15	0		u,Улучш.\0
1	4	0	15	1		u,Улучш.\0
1	4	0	15	2		u,Улучш.\0
1	4	0	15	3		u,Улучш.\0
1	4	0	15	4		u,Улучш.\0
1	4	0	15	5		u,Улучш.\0
1	4	0	15	6		u,Улучш.\0
1	4	0	15	7		u,Улучш.\0
1	4	0	15	8		u,Улучш.\0
1	4	0	15	9		u,Улучш.\0
1	4	0	15	10		u,Улучш.\0
1	4	16	50	0		u,Улучш.\0
1	4	16	50	1		u,Улучш.\0
1	4	16	50	2		u,Улучш.\0
1	4	16	50	3		u,Улучш.\0
1	4	16	50	4		u,Улучш.\0
1	4	16	50	5		u,Улучш.\0
1	4	16	50	6		u,Улучш.\0
1	4	16	50	7		u,Улучш.\0
1	4	16	50	8		u,Улучш.\0
1	4	16	50	9		u,Улучш.\0
1	4	16	50	10		u,Улучш.\0
2	1	0	15	0		u,Улучш.\0
2	1	0	15	1		u,Улучш.\0
2	1	0	15	2		u,Улучш.\0
2	1	0	15	3		u,Улучш.\0
2	1	0	15	4		u,Улучш.\0
2	1	0	15	5		u,Улучш.\0
2	1	0	15	6		u,Улучш.\0
2	1	0	15	7		u,Улучш.\0
2	1	0	15	8		u,Улучш.\0
2	1	0	15	9		u,Улучш.\0
2	1	0	15	10		u,Улучш.\0
2	1	16	50	0		u,Улучш.\0
2	1	16	50	1		u,Улучш.\0
2	1	16	50	2		u,Улучш.\0
2	1	16	50	3		u,Улучш.\0
2	1	16	50	4		u,Улучш.\0
2	1	16	50	5		u,Улучш.\0
2	1	16	50	6		u,Улучш.\0
2	1	16	50	7		u,Улучш.\0
2	1	16	50	8		u,Улучш.\0
2	1	16	50	9		u,Улучш.\0
2	1	16	50	10		u,Улучш.\0
2	2	0	15	0		u,Улучш.\0
2	2	0	15	1		u,Улучш.\0
2	2	0	15	2		u,Улучш.\0
2	2	0	15	3		u,Улучш.\0
2	2	0	15	4		u,Улучш.\0
2	2	0	15	5		u,Улучш.\0
2	2	0	15	6		u,Улучш.\0
2	2	0	15	7		u,Улучш.\0
2	2	0	15	8		u,Улучш.\0
2	2	0	15	9		u,Улучш.\0
2	2	0	15	10		u,Улучш.\0
2	2	16	50	0		u,Улучш.\0
2	2	16	50	1		u,Улучш.\0
2	2	16	50	2		u,Улучш.\0
2	2	16	50	3		u,Улучш.\0
2	2	16	50	4		u,Улучш.\0
2	2	16	50	5		u,Улучш.\0
2	2	16	50	6		u,Улучш.\0
2	2	16	50	7		u,Улучш.\0
2	2	16	50	8		u,Улучш.\0
2	2	16	50	9		u,Улучш.\0
2	2	16	50	10		u,Улучш.\0
2	3	0	15	0	LineageEffect.w_vari_b1_000_a	u,Улучш.\0
2	3	0	15	1	LineageEffect.w_vari_b1_001_a	u,Улучш.\0
2	3	0	15	2	LineageEffect.w_vari_b1_002_a	u,Улучш.\0
2	3	0	15	3	LineageEffect.w_vari_b1_003_a	u,Улучш.\0
2	3	0	15	4	LineageEffect.w_vari_b1_004_a	u,Улучш.\0
2	3	0	15	5	LineageEffect.w_vari_b1_005_a	u,Улучш.\0
2	3	0	15	6	LineageEffect.w_vari_b1_006_a	u,Улучш.\0
2	3	0	15	7	LineageEffect.w_vari_b1_007_a	u,Улучш.\0
2	3	0	15	8	LineageEffect.w_vari_b1_008_a	u,Улучш.\0
2	3	0	15	9	LineageEffect.w_vari_009_1b	u,Улучш.\0
2	3	0	15	10	LineageEffect.w_vari_010_1b	u,Улучш.\0
2	3	16	50	0	LineageEffect.w_vari_r1_000_a	u,Улучш.\0
2	3	16	50	1	LineageEffect.w_vari_r1_001_a	u,Улучш.\0
