id	name	description	rgb[0]	rgb[1]	rgb[2]	reserved1
13001	a,Heart of Warding\0	a,[70]  3,9k\0	9C	E8	A9	-1
13002	a,Life Control Tower\0	a,[20]  0\0	9C	E8	A9	-1
13003	a,Life Control Tower\0	a,[20]  0\0	9C	E8	A9	-1
13004	a,Flame Control Tower\0	a,[20]  0\0	9C	E8	A9	-1
13005	a,Flame Control Tower\0	a,[20]  0\0	9C	E8	A9	-1
13006	a,Christmas Tree\0	a,[70]  3,9k\0	9C	E8	A9	-1
13007	a,Special Christmas Tree\0	a,[70]  3,9k\0	9C	E8	A9	-1
13015	a,	a,[85]  4,8k\0	9C	E8	A9	-1
13016	a,King Squash\0	a,[1]  205\0	9C	E8	A9	-1
13017	a,Emperor Squash\0	a,[1]  205\0	9C	E8	A9	-1
13031	a,Huge Pig\0	a,[80]  1,1k\0	9C	E8	A9	-1
13032	a,Huge Pig\0	a,[80]  1,1k\0	9C	E8	A9	-1
13033	a,Huge Pig\0	a,[80]  1,1k\0	9C	E8	A9	-1
13034	a,Super Huge Pig\0	a,[80]  5,4k\0	9C	E8	A9	-1
13035	a,Golden Pig\0	a,[80]  1,1k\0	9C	E8	A9	-1
13037	a,Trap\0	a,[28]  859\0	9C	E8	A9	-1
13038	a,Trap\0	a,[36]  1,3k\0	9C	E8	A9	-1
13039	a,Trap\0	a,[43]  1,7k\0	9C	E8	A9	-1
13042	a,Trap\0	a,[60]  3,1k\0	9C	E8	A9	-1
13046	a,Trap\0	a,[49]  2,2k\0	9C	E8	A9	-1
13047	a,Trap\0	a,[55]  2,6k\0	9C	E8	A9	-1
13056	a,Trap\0	a,[72]  4k\0	9C	E8	A9	-1
13057	a,Trap\0	a,[40]  1,5k\0	9C	E8	A9	-1
13058	a,Trap\0	a,[46]  1,9k\0	9C	E8	A9	-1
13059	a,Trap\0	a,[52]  2,4k\0	9C	E8	A9	-1
13060	a,Trap\0	a,[58]  2,9k\0	9C	E8	A9	-1
13061	a,Trap\0	a,[62]  3,2k\0	9C	E8	A9	-1
13063	a,Trap\0	a,[70]  3,9k\0	9C	E8	A9	-1
13065	a,Trap\0	a,[52]  2,4k\0	9C	E8	A9	-1
13066	a,Trap\0	a,[58]  2,9k\0	9C	E8	A9	-1
13071	a,Virtual Image\0	a,[43]  1,7k\0	9C	E8	A9	-1
13072	a,Virtual Image\0	a,[52]  2,4k\0	9C	E8	A9	-1
13073	a,Virtual Image\0	a,[60]  3,1k\0	9C	E8	A9	-1
13074	a,Virtual Image\0	a,[66]  3,5k\0	9C	E8	A9	-1
13075	a,Virtual Image\0	a,[70]  3,9k\0	9C	E8	A9	-1
13097	a,	a,[80]  4,6k\0	9C	E8	A9	-1
13098	a,Event Treasure Chest\0	a,[80]  4,6k\0	9C	E8	A9	-1
18001	a,Blood Queen\0	a,[60]  3,1k\0	9C	E8	A9	-1
18002	a,Blood Queen\0	a,[60]  3,1k\0	9C	E8	A9	-1
18003	a,Bearded Keltir\0	a,[1]  0\0	9C	E8	A9	-1
18004	a,Susceptor Prime\0	a,[49]  2,2k\0	9C	E8	A9	-1
18005	a,Mimic\0	a,[52]  0\0	9C	E8	A9	-1
18006	a,Maruk Lord\0	a,[68]  0\0	9C	E8	A9	-1
18007	a,Limal Karinness\0	a,[69]  0\0	9C	E8	A9	-1
18008	a,Karik\0	a,*[70]  3,9k\0	80	80	FF	-1
18009	a,Offering of Branded Elder\0	a,[34]  1,2k\0	9C	E8	A9	-1
18010	a,Offering of the Branded\0	a,[32]  1,1k\0	9C	E8	A9	-1
18011	a,Offering of Branded Archer\0	a,[28]  859\0	9C	E8	A9	-1
18012	a,Offering of Branded Warrior\0	a,[29]  906\0	9C	E8	A9	-1
18013	a,Offering of Branded Follower\0	a,[29]  906\0	9C	E8	A9	-1
